City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Eyl,SO,75.09,overcast clouds,7.9803,49.8164,Amiin Hotel
2,Kruisfontein,ZA,75.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
11,Itarema,BR,84.34,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
13,Mapiripan,CO,89.65,overcast clouds,2.8892,-72.1256,Monserrate
14,Cidreira,BR,81.25,clear sky,-30.1811,-50.2056,Hotel Castelo
19,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
20,Rikitea,PF,79.09,clear sky,-23.1203,-134.9692,People ThankYou
21,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
22,San Cristobal,VE,79.99,broken clouds,7.7669,-72.225,Posada Villaven C.A.
33,Batticaloa,LK,76.86,overcast clouds,7.7102,81.6924,Grand Star Guest House
34,Castro,BR,77.86,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
35,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
39,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
43,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
44,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Luanda,AO,76.46,overcast clouds,-8.8368,13.2343,Hotel Fórum
49,Huarmey,PE,75.54,few clouds,-10.0681,-78.1522,Hotel Miramar
50,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
57,Rawson,AR,75.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
58,Ternate,ID,80.01,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
59,Atar,MR,80.96,clear sky,20.5169,-13.0499,Oumou Elghoura
61,Coro,VE,83.88,scattered clouds,11.4045,-69.6734,Federal
63,Nioro,GM,93.02,clear sky,13.35,-15.75,
64,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Tucuman,AR,77.0,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
67,Port Alfred,ZA,75.02,scattered clouds,-33.5906,26.891,The Halyards Hotel
68,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Kieta,PG,79.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
75,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Conde,BR,85.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
84,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
85,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
87,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
88,Port Elizabeth,ZA,78.1,clear sky,-33.918,25.5701,39 On Nile Guest House
89,Vao,NC,79.95,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
97,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
100,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
101,Tonantins,BR,81.68,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
106,Iracoubo,GF,81.03,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
107,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
108,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
118,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
120,Morondava,MG,80.8,moderate rain,-20.2833,44.2833,La Case Bambou
121,Kavieng,PG,81.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
122,Yaring,TH,76.42,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
132,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
133,Labrea,BR,87.35,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
135,Marsh Harbour,BS,75.02,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
144,San Felipe,VE,85.35,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
146,Manaus,BR,82.89,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
148,Tomatlan,MX,90.9,few clouds,19.9333,-105.25,El Salvial
149,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
152,Cabinda,AO,77.49,light rain,-5.55,12.2,Hotel Maiombe
153,Black River,JM,82.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
154,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
158,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
159,Bontang,ID,76.69,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
161,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
170,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,Padang,ID,77.04,light rain,-0.9492,100.3543,Mercure Padang
176,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
180,Macapa,BR,85.98,broken clouds,0.0389,-51.0664,Atalanta Hotel
183,Nuevitas,CU,85.44,clear sky,21.5453,-77.2644,Hotel Caonaba
