City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khorinsk,RU,52.1657,109.7726,-0.11,99,100,2.84,overcast clouds
1,Eyl,SO,7.9803,49.8164,75.09,71,100,16.4,overcast clouds
2,Kruisfontein,ZA,-34.0033,24.7314,75.88,58,100,14.34,overcast clouds
3,Bredasdorp,ZA,-34.5322,20.0403,66.27,66,0,3.91,clear sky
4,Igrim,RU,63.1906,64.4162,-10.01,100,72,4.18,broken clouds
5,Hobart,AU,-42.8794,147.3294,53.06,87,5,9.22,clear sky
6,Cape Town,ZA,-33.9258,18.4232,69.1,76,20,1.01,few clouds
7,Torbay,CA,47.6666,-52.7314,15.89,79,75,16.11,broken clouds
8,Mataura,NZ,-46.1927,168.8643,44.47,90,10,0.92,clear sky
9,Annau,TM,37.8876,58.516,33.3,93,40,4.61,scattered clouds
10,Tura,IN,25.5198,90.2201,51.69,81,0,2.89,clear sky
11,Itarema,BR,-2.9248,-39.9167,84.34,65,100,13.89,overcast clouds
12,Jamestown,US,42.097,-79.2353,34.72,30,0,13.8,clear sky
13,Mapiripan,CO,2.8892,-72.1256,89.65,42,100,6.31,overcast clouds
14,Cidreira,BR,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
15,Hermanus,ZA,-34.4187,19.2345,67.89,89,9,8.19,clear sky
16,Saskylakh,RU,71.9167,114.0833,-24.65,100,95,1.61,overcast clouds
17,Merke,KZ,42.8728,73.1786,36.97,97,100,1.1,overcast clouds
18,Tabas,IR,33.5959,56.9244,49.01,34,0,3.58,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,14.97,clear sky
20,Rikitea,PF,-23.1203,-134.9692,79.09,70,2,16.75,clear sky
21,Avarua,CK,-21.2078,-159.775,77.05,88,85,10.36,overcast clouds
22,San Cristobal,VE,7.7669,-72.225,79.99,50,62,4.85,broken clouds
23,Qaanaaq,GL,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
24,Constitucion,CL,-35.3333,-72.4167,71.74,56,13,9.75,few clouds
25,East London,ZA,-33.0153,27.9116,74.82,82,1,22.03,clear sky
26,Victoria,HK,22.2855,114.1577,62.65,84,100,1.99,overcast clouds
27,Iquique,CL,-20.2208,-70.1431,71.64,66,20,7.31,few clouds
28,Kharan,PK,28.5833,65.4167,60.46,23,33,13.09,scattered clouds
29,Vostok,RU,46.4856,135.8833,-11.09,99,97,3.98,overcast clouds
30,Dikson,RU,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,55.81,81,100,8.32,overcast clouds
32,Kyra,RU,49.5776,111.9753,2.52,93,84,4.52,broken clouds
33,Batticaloa,LK,7.7102,81.6924,76.86,79,100,7.61,overcast clouds
34,Castro,BR,-24.7911,-50.0119,77.86,67,29,6.71,moderate rain
35,Vaini,TO,-21.2,-175.2,75.36,94,100,10.36,light rain
36,Thompson,CA,55.7435,-97.8558,-5.15,81,6,6.85,clear sky
37,Veraval,IN,20.9,70.3667,67.21,71,6,9.35,clear sky
38,Lebu,CL,-37.6167,-73.65,66.25,64,0,13.42,clear sky
39,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,9.22,scattered clouds
40,Cherskiy,RU,68.75,161.3,-31.16,100,24,1.1,few clouds
41,Busselton,AU,-33.65,115.3333,54.09,53,64,17.92,broken clouds
